Average Time;Global Size;LocalSize
1.92976e-05;41;4
2.02155e-05;42;4
1.93334e-05;43;4
1.8115e-05;44;4
1.8003e-05;45;4
1.95622e-05;46;4
2.18678e-05;47;4
1.9052e-05;48;4
2.08735e-05;49;4
1.82319e-05;50;4
1.89471e-05;51;4
2.02155e-05;52;4
1.65319e-05;53;4
2.08497e-05;54;4
1.75619e-05;55;4
1.75452e-05;56;4
1.82724e-05;57;4
1.99485e-05;58;4
2.00295e-05;59;4
1.80125e-05;60;4
1.85609e-05;61;4
1.69444e-05;62;4
2.03109e-05;63;4
2.03633e-05;64;4
1.95265e-05;1;5
2.08783e-05;2;5
2.09236e-05;3;5
1.81317e-05;4;5
1.99676e-05;5;5
1.90473e-05;6;5
2.01321e-05;7;5
1.93667e-05;8;5
1.8549e-05;9;5
2.07019e-05;10;5
2.04134e-05;11;5
1.60408e-05;12;5
2.04921e-05;13;5
1.98722e-05;14;5
2.03323e-05;15;5
1.91307e-05;16;5
1.97315e-05;17;5
2.13361e-05;18;5
2.07424e-05;19;5
1.64413e-05;20;5
2.04945e-05;21;5
1.69134e-05;22;5
2.30432e-05;23;5
1.88541e-05;24;5
2.00605e-05;25;5
1.99342e-05;26;5
1.72353e-05;27;5
2.0349e-05;28;5
1.85418e-05;29;5
1.9176e-05;30;5
1.7302e-05;31;5
1.57309e-05;32;5
1.92857e-05;33;5
2.09451e-05;34;5
1.7488e-05;35;5
2.05207e-05;36;5
2.07758e-05;37;5
1.94168e-05;38;5
1.96123e-05;39;5
1.8394e-05;40;5
1.89352e-05;41;5
1.858e-05;42;5
1.76525e-05;43;5
1.8692e-05;44;5
1.93357e-05;45;5
1.63674e-05;46;5
1.96266e-05;47;5
1.83535e-05;48;5
2.1143e-05;49;5
1.7159e-05;50;5
1.92595e-05;51;5
1.74785e-05;52;5
1.93501e-05;53;5
2.04277e-05;54;5
1.91212e-05;55;5
1.87945e-05;56;5
1.89042e-05;57;5
1.97339e-05;58;5
1.79958e-05;59;5
1.51682e-05;60;5
1.34039e-05;61;5
2.00891e-05;62;5
1.86896e-05;63;5
1.67823e-05;64;5
1.83272e-05;1;6
1.9424e-05;2;6
1.79172e-05;3;6
1.96886e-05;4;6
2.12407e-05;5;6
1.84631e-05;6;6
1.98317e-05;7;6
1.89972e-05;8;6
1.97983e-05;9;6
1.99294e-05;10;6
1.98555e-05;11;6
1.49417e-05;12;6
2.02966e-05;13;6
1.87325e-05;14;6
2.01511e-05;15;6
1.99676e-05;16;6
1.84226e-05;17;6
1.90449e-05;18;6
1.73378e-05;19;6
2.30217e-05;20;6
1.94383e-05;21;6
1.92356e-05;22;6
2.07353e-05;23;6
1.70779e-05;24;6
2.06041e-05;25;6
2.21086e-05;26;6
1.99962e-05;27;6
2.04873e-05;28;6
2.10428e-05;29;6
1.89161e-05;30;6
1.84417e-05;31;6
1.92571e-05;32;6
1.89519e-05;33;6
1.90759e-05;34;6
2.00105e-05;35;6
1.80602e-05;36;6
1.88112e-05;37;6
1.83415e-05;38;6
1.91569e-05;39;6
1.90282e-05;40;6
1.80745e-05;41;6
2.20609e-05;42;6
1.84274e-05;43;6
1.80244e-05;44;6
1.90043e-05;45;6
2.10953e-05;46;6
1.80936e-05;47;6
2.18844e-05;48;6
1.99318e-05;49;6
1.74975e-05;50;6
1.93119e-05;51;6
2.14267e-05;52;6
1.91998e-05;53;6
1.69325e-05;54;6
1.9455e-05;55;6
2.06804e-05;56;6
1.9331e-05;57;6
1.6942e-05;58;6
1.9269e-05;59;6
2.03848e-05;60;6
1.89495e-05;61;6
1.80125e-05;62;6
2.00438e-05;63;6
1.56951e-05;64;6
2.02298e-05;1;7
2.13981e-05;2;7
1.77169e-05;3;7
1.74308e-05;4;7
1.9846e-05;5;7
2.05112e-05;6;7
2.07305e-05;7;7
1.80554e-05;8;7
2.23136e-05;9;7
1.96934e-05;10;7
2.12169e-05;11;7
1.72806e-05;12;7
2.00176e-05;13;7
2.1503e-05;14;7
8.98838e-06;15;7
6.48737e-06;16;7
6.68049e-06;17;7
6.45638e-06;18;7
6.43969e-06;19;7
6.47068e-06;20;7
6.43969e-06;21;7
6.50406e-06;22;7
6.52075e-06;23;7
6.54221e-06;24;7
6.54221e-06;25;7
6.48975e-06;26;7
6.49691e-06;27;7
6.53982e-06;28;7
6.5136e-06;29;7
1.20831e-05;30;7
9.7084e-06;31;7
1.86181e-05;32;7
1.87826e-05;33;7
1.9877e-05;34;7
